Hazmat,X,Y,Z,Distance
oxygen,0.37699087632101935,0.4083089747944715,0.43004262901503004,0.7570766744598727
flammable,0.4628433545276234,0.38983390691431574,0.4703935167593526,0.8241743637115291
spontaneously-combustible,1.2603045068850711,1.4216838636913087,1.4260197064167535,2.4841553050446294
dangerous,2.6317519417458124,2.480243992001316,2.6100354834971684,4.640697528912713
